right_track,economy_better,pres_approval,vote_intention,vote_2020,consider_trump,not_trump,cand_favorability_trump,cand_favorability_biden,trump_biden,employment,gender,census_region,race_ethnicity,household_income,education,age,state,vote_trump,vote_Biden,is_male
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Full-time employed,Female,South,White,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",55,SC,1,0,0
1,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Somewhat unfavorable,Joe Biden,Retired,Male,Midwest,White,"$85,000 to $89,999",Associate Degree,68,MN,0,1,1
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Part-time employed,Female,South,White,"$90,000 to $94,999","Completed some college, but no degree",69,GA,1,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Part-time employed,Female,Northeast,White,"$75,000 to $79,999",Masters degree,33,PA,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,NA,Very unfavorable,Very favorable,Joe Biden,Retired,Female,Northeast,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",70,NJ,0,1,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Somewhat favorable,Somewhat unfavorable,Donald Trump,Full-time employed,Female,South,White,"$30,000 to $34,999",Associate Degree,32,VA,1,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Retired,Female,South,White,"$100,000 to $124,999","Completed some college, but no degree",77,SC,1,0,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Female,South,White,"$100,000 to $124,999",Associate Degree,65,TX,1,0,0
0,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Part-time employed,Female,South,"Black, or African American","Less than $14,999","Completed some college, but no degree",22,FL,0,1,0
0,0,Not sure,"No, I will not vote but I am eligible",I would not vote,Don't know,Don't know,Haven't heard enough,Haven't heard enough,Don't Know,Permanently disabled,Female,Northeast,White,"$15,000 to $19,999",Middle School - Grades 4 - 8,47,NY,0,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Retired,Female,West,White,"$65,000 to $69,999",Masters degree,63,AZ,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Full-time employed,Male,Midwest,White,"$45,000 to $49,999",Masters degree,79,IL,0,1,1
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Somewhat unfavorable,Donald Trump,Retired,Male,Midwest,White,"$75,000 to $79,999","Completed some college, but no degree",70,OH,1,0,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,Midwest,White,"$80,000 to $84,999",Masters degree,54,OH,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Retired,Male,West,White,"$40,000 to $44,999","Completed some college, but no degree",72,CA,0,1,1
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Unemployed or temporarily on layoff,Female,South,White,"$20,000 to $24,999",Completed some high school,40,FL,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Retired,Female,South,"Black, or African American","$65,000 to $69,999","College Degree (such as B.A., B.S.)",69,NC,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Male,South,White,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",37,TX,0,1,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Full-time employed,Female,South,White,"$150,000 to $174,999",Doctorate degree,36,FL,0,1,0
0,0,Strongly disapprove,Not sure,I am not sure/don't know,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Unemployed or temporarily on layoff,Female,Northeast,White,"$65,000 to $69,999",Other post high school vocational training,54,NY,0,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,South,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",40,TX,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Part-time employed,Female,Northeast,White,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",41,NJ,0,1,0
0,0,Somewhat approve,Not sure,I am not sure/don't know,Don't know,Don't know,NA,Somewhat favorable,Donald Trump,Homemaker,Female,South,White,"Less than $14,999",Completed some high school,57,AR,1,0,0
0,0,Somewhat disapprove,Not sure,I am not sure/don't know,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Retired,Female,South,White,"Less than $14,999",Completed some high school,64,OK,0,0,0
0,0,Strongly disapprove,Not sure,Someone else,No,Not Asked,Very unfavorable,Very unfavorable,Don't Know,Homemaker,Female,West,White,"$75,000 to $79,999",Completed some high school,39,NV,0,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Student,Female,South,White,NA,"Completed some college, but no degree",19,FL,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",I am not sure/don't know,No,Not Asked,Very unfavorable,Haven't heard enough,Don't Know,Full-time employed,Female,South,White,"$45,000 to $49,999","Completed some college, but no degree",50,FL,0,0,0
0,0,Strongly disapprove,"Yes, I will vote",Someone else,No,Not Asked,Very unfavorable,Very unfavorable,Don't Know,Full-time employed,Female,South,Asian (Asian Indian),"$55,000 to $59,999","College Degree (such as B.A., B.S.)",26,TX,0,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Homemaker,Female,West,White,"$15,000 to $19,999",Completed some high school,30,CA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Someone else,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,Northeast,White,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",51,NY,0,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Somewhat unfavorable,Donald Trump,Retired,Female,West,White,"Less than $14,999","Completed some college, but no degree",72,OR,1,0,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Homemaker,Female,Northeast,White,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",55,PA,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Full-time employed,Female,Northeast,"Black, or African American","$100,000 to $124,999","College Degree (such as B.A., B.S.)",80,PA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Retired,Female,South,White,"$80,000 to $84,999","Completed some college, but no degree",66,NC,0,1,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Don't know,Yes,Somewhat favorable,Somewhat favorable,Donald Trump,Full-time employed,Female,South,White,"$35,000 to $39,999",Other post high school vocational training,40,TX,1,0,0
1,0,Not sure,"Yes, I will vote",I am not sure/don't know,No,NA,Somewhat favorable,Somewhat favorable,Donald Trump,Full-time employed,Female,West,White,"$40,000 to $44,999",Completed some high school,23,CA,1,0,0
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Somewhat favorable,Somewhat favorable,Donald Trump,Full-time employed,Male,South,Asian (Vietnamese),"$75,000 to $79,999",Masters degree,31,VA,1,0,1
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Somewhat unfavorable,Donald Trump,Retired,Male,Midwest,White,"$95,000 to $99,999",Masters degree,69,OH,1,0,1
1,0,Somewhat approve,"Yes, I will vote",Joe Biden,No,NA,Somewhat favorable,Somewhat favorable,Joe Biden,Full-time employed,Female,West,Asian (Chinese),"$125,000 to $149,999","Completed some graduate, but no degree",31,CA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Full-time employed,Female,Midwest,White,"$85,000 to $89,999",Masters degree,51,IL,0,1,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Don't know,Very favorable,Somewhat unfavorable,Donald Trump,Retired,Female,South,White,"$100,000 to $124,999","Completed some graduate, but no degree",78,NC,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,Midwest,White,"$50,000 to $54,999",Other post high school vocational training,58,MI,0,1,0
0,0,Somewhat disapprove,"Yes, I will vote",Someone else,No,NA,Somewhat unfavorable,Very unfavorable,Donald Trump,Retired,Female,Northeast,White,"$45,000 to $49,999",High school graduate,70,PA,1,0,0
1,1,Strongly approve,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Full-time employed,Female,West,White,"$150,000 to $174,999",Masters degree,19,CA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Self-employed,Female,Midwest,White,"$65,000 to $69,999","Completed some college, but no degree",41,MI,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Self-employed,Male,Northeast,White,"$30,000 to $34,999",Completed some high school,39,CT,0,1,1
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Retired,Female,South,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",63,NC,1,0,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Female,South,White,NA,"Completed some college, but no degree",69,DE,1,0,0
0,0,Somewhat disapprove,"Yes, I will vote",I am not sure/don't know,No,Not Asked,Somewhat unfavorable,Somewhat favorable,Joe Biden,Retired,Female,Midwest,White,"$30,000 to $34,999",Associate Degree,68,WI,0,0,0
0,0,Somewhat approve,"Yes, I will vote",I am not sure/don't know,NA,NA,Somewhat favorable,Somewhat favorable,Don't Know,Self-employed,Male,South,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",41,FL,0,0,1
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Don't know,Don't know,Very favorable,Very favorable,Donald Trump,Retired,Female,Northeast,White,"$45,000 to $49,999",Associate Degree,73,CT,1,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Full-time employed,Female,South,White,"$40,000 to $44,999",Masters degree,38,NC,1,0,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Female,West,White,"$30,000 to $34,999",Associate Degree,69,OR,1,0,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Retired,Female,Midwest,White,"$100,000 to $124,999",Masters degree,61,IL,1,0,0
1,1,Strongly approve,"No, I will not vote but I am eligible",Joe Biden,Yes,Yes,Very unfavorable,Very favorable,Joe Biden,Unemployed or temporarily on layoff,Female,Northeast,White,"Less than $14,999",Other post high school vocational training,19,NJ,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",I am not sure/don't know,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Retired,Female,South,White,"$45,000 to $49,999","Completed some college, but no degree",72,TX,0,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Somewhat favorable,Very unfavorable,Donald Trump,Full-time employed,Female,West,White,"$30,000 to $34,999",Masters degree,54,CA,1,0,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Unemployed or temporarily on layoff,Female,South,White,NA,Associate Degree,72,NC,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Retired,Female,South,White,"$150,000 to $174,999",Masters degree,70,FL,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,Midwest,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",53,IA,0,1,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Somewhat favorable,Very unfavorable,Donald Trump,Full-time employed,Female,South,White,"$100,000 to $124,999",Masters degree,52,GA,1,0,0
0,0,Somewhat disapprove,"Yes, I will vote",Someone else,No,Not Asked,Very unfavorable,Somewhat unfavorable,Don't Know,Full-time employed,Male,Midwest,White,"$95,000 to $99,999",Masters degree,40,IL,0,0,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Homemaker,Female,Northeast,White,"$75,000 to $79,999",Masters degree,63,NY,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,West,White,"$25,000 to $29,999",Associate Degree,63,WA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Homemaker,Female,Midwest,White,"$60,000 to $64,999","Completed some college, but no degree",38,MI,0,1,0
1,0,Somewhat disapprove,"Yes, I will vote",I am not sure/don't know,Don't know,Yes,Somewhat unfavorable,Somewhat unfavorable,Don't Know,Retired,Female,South,White,"$60,000 to $64,999",High school graduate,75,SC,0,0,0
1,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Very favorable,Joe Biden,Permanently disabled,Female,Midwest,White,"$55,000 to $59,999",Other post high school vocational training,45,OH,0,1,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Unemployed or temporarily on layoff,Female,Midwest,White,"$45,000 to $49,999",High school graduate,30,IL,1,0,0
0,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Somewhat favorable,Joe Biden,Retired,Female,Northeast,White,"$90,000 to $94,999",High school graduate,66,MA,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Haven't heard enough,Joe Biden,Full-time employed,Female,Midwest,Asian (Chinese),"$80,000 to $84,999",Masters degree,40,MO,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,West,White,"$60,000 to $64,999",Masters degree,49,CO,0,1,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Very unfavorable,Donald Trump,Retired,Female,Midwest,White,"$45,000 to $49,999","Completed some college, but no degree",57,IL,1,0,0
0,0,Not sure,"Yes, I will vote",Someone else,No,Not Asked,Very unfavorable,Very unfavorable,Don't Know,Full-time employed,Female,South,White,"$25,000 to $29,999",Other post high school vocational training,59,NC,0,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Part-time employed,Female,South,White,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",60,NC,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Retired,Female,Northeast,White,"$70,000 to $74,999",Masters degree,68,NY,0,1,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Somewhat unfavorable,Donald Trump,Full-time employed,Female,Midwest,White,"$60,000 to $64,999",High school graduate,58,IN,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Somewhat unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,West,Asian (Chinese),"$50,000 to $54,999","College Degree (such as B.A., B.S.)",33,CA,0,1,0
1,1,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Unemployed or temporarily on layoff,Female,South,White,"$250,000 and above","Completed some college, but no degree",26,FL,1,0,0
0,0,Not sure,Not sure,I am not sure/don't know,Don't know,Don't know,Haven't heard enough,Haven't heard enough,Don't Know,Homemaker,Female,South,White,"$40,000 to $44,999",High school graduate,22,FL,0,0,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Don't know,Somewhat favorable,Very unfavorable,Donald Trump,Retired,Female,Northeast,White,"$65,000 to $69,999","Completed some college, but no degree",76,PA,1,0,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Full-time employed,Female,South,White,"$25,000 to $29,999",Other post high school vocational training,38,SC,1,0,0
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,Yes,Somewhat favorable,Very unfavorable,Donald Trump,Full-time employed,Female,Midwest,White,"$100,000 to $124,999",Masters degree,53,IL,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",I am not sure/don't know,No,Not Asked,Very unfavorable,Somewhat unfavorable,Joe Biden,Student,Female,Northeast,"Black, or African American",NA,"Completed some college, but no degree",19,PA,0,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Retired,Female,Midwest,White,"$15,000 to $19,999","Completed some college, but no degree",64,OH,0,1,0
1,0,Somewhat approve,"Yes, I will vote",Donald Trump,No,Not Asked,Very unfavorable,Somewhat favorable,Donald Trump,Full-time employed,Male,Northeast,White,"$90,000 to $94,999",Masters degree,49,NY,1,0,1
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Retired,Male,Midwest,White,"$65,000 to $69,999","Completed some college, but no degree",66,IA,1,0,1
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Full-time employed,Female,Midwest,White,"$125,000 to $149,999",Masters degree,56,WI,1,0,0
1,1,Somewhat approve,"Yes, I will vote",Joe Biden,No,NA,Somewhat favorable,Very favorable,Joe Biden,Homemaker,Female,Northeast,White,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",26,CT,0,1,0
1,1,Strongly approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Very unfavorable,Donald Trump,Part-time employed,Female,Northeast,White,"$30,000 to $34,999",High school graduate,58,PA,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Full-time employed,Female,Northeast,White,"$100,000 to $124,999","Completed some graduate, but no degree",72,NJ,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,South,White,"$60,000 to $64,999",Masters degree,36,DC,0,1,0
0,0,Somewhat disapprove,"Yes, I will vote",Joe Biden,No,NA,Somewhat unfavorable,Somewhat favorable,Joe Biden,Retired,Male,Northeast,White,"$100,000 to $124,999",Masters degree,70,PA,0,1,1
0,0,Somewhat approve,Not sure,Donald Trump,Yes,Yes,Somewhat favorable,Somewhat unfavorable,Donald Trump,Unemployed or temporarily on layoff,Male,South,White,"$45,000 to $49,999",Associate Degree,25,GA,1,0,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Full-time employed,Female,Northeast,White,"$150,000 to $174,999",Masters degree,40,NY,0,1,0
1,1,Strongly approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Somewhat unfavorable,Donald Trump,Full-time employed,Male,South,White,"$150,000 to $174,999",Masters degree,42,FL,1,0,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Very favorable,Joe Biden,Unemployed or temporarily on layoff,Male,South,"Black, or African American","Less than $14,999",Completed some high school,26,FL,0,1,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Unemployed or temporarily on layoff,Male,Northeast,Asian (Chinese),"Less than $14,999","Completed some college, but no degree",45,NY,0,1,1
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Homemaker,Female,South,White,"$30,000 to $34,999",Associate Degree,57,GA,1,0,0
0,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,No,Very favorable,Very unfavorable,Donald Trump,Part-time employed,Female,Midwest,White,"$90,000 to $94,999","Completed some college, but no degree",55,IL,1,0,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Haven't heard enough,Very unfavorable,Joe Biden,Retired,Male,West,White,"$55,000 to $59,999","Completed some college, but no degree",70,NM,0,1,1
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Permanently disabled,Female,South,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",55,TN,0,1,0
0,0,Strongly disapprove,"Yes, I will vote",Joe Biden,No,Not Asked,Very unfavorable,Somewhat favorable,Joe Biden,Homemaker,Female,West,Asian (Chinese),"$25,000 to $29,999","College Degree (such as B.A., B.S.)",46,CA,0,1,0
0,0,Somewhat approve,"Yes, I will vote",Donald Trump,Yes,No,Somewhat favorable,Very unfavorable,Donald Trump,Homemaker,Female,South,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",32,NC,1,0,0
1,0,Strongly approve,"Yes, I will vote",Donald Trump,Yes,Yes,Very favorable,Very unfavorable,Donald Trump,Full-time employed,Female,South,White,"$40,000 to $44,999","Completed some college, but no degree",66,VA,1,0,0
